備考_links,section,品名,備考,出し方
,か,かん（飲料・食料用以外）,,家庭ごみ
,か,かん（食用油かん）,油をよく落として,かん・びん
,か,かん（ペットフードかん）,油と汚れをよく落として,かん・びん
,か,かん（一斗缶）,中身を使い切って,家庭ごみ
['/contents/00800208.html'],か,かんのふた（金属製）,小物金属 回収ボックス へ,小物金属
,か,換気扇,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/00800208.html'],か,缶切り,小物金属 回収ボックス へ,小物金属
,か,緩衝材（プラ製）,,プラスチック
['/contents/924_10259.html'],か,乾燥機（食器用、布団用）,事前申込制 衣類乾燥機（ドラム式）は販売店などに引き取りを依頼,粗大ごみ
,か,乾燥剤,,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/01100026.html'],か,乾電池（充電式でないもの）,電池類 回収ボックス へ 必ず、絶縁ビニールテープ等で電極部分を絶縁して、家庭ごみにも出せる。 充電式・ボタン型電池は、別記,電池類
,か,感熱紙,,家庭ごみ
['/contents/924_10259.html'],き,キーボード（楽器）,事前申込制 （注）ピアノは専門の処理業者に相談,粗大ごみ
['/contents/00800208.html'],き,キーホルダー,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/924_10259.html'],き,ギター,事前申込制,粗大ごみ
['/contents/924_10259.html'],き,キッチンストッカー,事前申込制,粗大ごみ
['/contents/00800208.html'],き,キッチンバサミ,小物金属 回収ボックス へ,小物金属
['https://www.city.kitakyushu.lg.jp/kankyou/file_0043.html'],き,木の枝・幹,（参考）「 緑のリサイクル 」,家庭ごみ
,き,着物,,家庭ごみ
['/contents/924_10259.html'],き,脚立,事前申込制,粗大ごみ
['/contents/00800208.html'],き,キャップ・ふた（金属製）,小物金属 回収ボックス へ,小物金属
,き,キャップ・ふた（プラ製）,,プラスチック
['/contents/924_10259.html'],き,キャリア（車の上に取り付けるもの）,事前申込制,粗大ごみ
['/contents/00800208.html'],き,急須,金属製のものは小物金属 回収ボックス へ,家庭ごみ
['/contents/924_10259.html'],き,給湯器,事前申込制,粗大ごみ
['/contents/00800208.html'],き,牛乳パック,紙パック 回収ボックス へ,紙パック
,き,給油ポンプ,,家庭ごみ
['/contents/924_10259.html'],き,鏡台,事前申込制,粗大ごみ
,き,銀紙,,家庭ごみ
,き,金魚ばち,新聞紙などに包んで プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
,き,金庫,（注）専門の処理業者に依頼,市が収集しないもの
['/contents/924_10259.html'],き,金庫（手さげ金庫）,事前申込制,粗大ごみ
,く,空気入れ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/924_10259.html'],く,空気清浄器,事前申込制,粗大ごみ
['/contents/924_10259.html'],く,クーラーボックス,事前申込制,粗大ごみ
['/contents/00800208.html'],く,くぎ,透明のビニール袋に入れて　小物金属 回収ボックス へ,小物金属
,く,草,,家庭ごみ
['/contents/924_10259.html'],く,草刈り機,事前申込制,粗大ごみ
['/contents/00800208.html'],く,くさり,小物金属 回収ボックス へ,小物金属
,く,櫛（くし）,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/00800208.html'],く,串,金属製のものは小物金属 回収ボックス へ,家庭ごみ
,く,薬（家庭用医薬品）,,家庭ごみ
,く,薬（錠剤・カプセル）の包装シート,,プラスチック
,く,薬の容器・小袋（プラ製）,,プラスチック
,く,薬（のみ薬）のびん,,かん・びん
,く,果物などのネット,,プラスチック
,く,靴（くつ）,,家庭ごみ
,く,クリーニングのビニール袋,,プラスチック
['/contents/00800208.html'],く,クリップ,透明のビニール袋に入れて　小物金属 回収ボックス へ,小物金属
,く,クリアファイル,,プラスチック
['/contents/924_10259.html'],く,車いす（電動式を除く）,事前申込制,粗大ごみ
,く,車いす（電動式）,（注）販売店に相談,市が収集しないもの
,く,グロー球,,家庭ごみ
,く,グローブ（野球用など）,,家庭ごみ
['/contents/924_10259.html'],く,鍬（くわ）,事前申込制 小型のものは家庭ごみ,粗大ごみ
,く,くん煙剤,未使用の場合 水を入れるものは水がかからないように包んで 火をつけるものは水に浸して,家庭ごみ
['/contents/00800208.html'],け,蛍光管（環型、直型）,蛍光管 回収ボックス へ 割れたものは家庭ごみ LED蛍光灯は家庭ごみ,蛍光管回収ボックス
,け,蛍光灯（電球型）,,家庭ごみ
['/contents/00800208.html'],け,携帯電話（スマートフォン・ガラホ含む）,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,小型電子機器
['/contents/00800208.html'],け,計量カップ,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/00800208.html'],け,計量スプーン,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/00800208.html'],け,ケーキ型,小物金属 回収ボックス へ、金属製以外のものは家庭ごみ,小物金属
['/contents/00800208.html'],け,ケーブル,小型電子機器 回収ボックス へ,小型電子機器
['/contents/00800208.html'],け,ゲーム機,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,家庭ごみ
,け,ゲームソフト,,家庭ごみ
,け,化粧品のびん,,かん・びん
,け,化粧品のびんのふた（プラ製）,,プラスチック
,け,げた箱,,粗大ごみ
,け,ケチャップのチューブ（ふたを含む）,中身を使い切って,プラスチック
"['/contents/00800208.html', '/contents/00800208.html']",け,血圧計（水銀血圧計を除く）,電子式で小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ 水銀血圧計は、水銀血圧計 回収ボックス へ,家庭ごみ
['/contents/00800208.html'],け,毛抜き,小物金属 回収ボックス へ,小物金属
['/contents/00800208.html'],け,剣山,小物金属 回収ボックス へ,小物金属
['/contents/00800208.html'],こ,工具箱（金属製）,小物金属 回収ボックス へ　金属製以外のものは家庭ごみ,小物金属
['/contents/00800208.html'],こ,広告・チラシ,古紙 回収ボックス へ,古紙
,こ,香水のびん,,家庭ごみ
['/contents/924_10259.html'],こ,コート掛け,事前申込制,粗大ごみ
['/contents/00800208.html'],こ,コード類,小型電子機器 回収ボックス へ,小型電子機器
['/contents/00800208.html'],こ,コードリール,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,家庭ごみ
,こ,コーヒーミル,,家庭ごみ
,こ,コーヒーメーカー,,家庭ごみ
,こ,固形燃料,,家庭ごみ
,こ,ござ,指定袋に入らない大きさのものは粗大ごみ,家庭ごみ
['/contents/924_10259.html'],こ,こたつ（こたつ板を含む）,事前申込制,粗大ごみ
['/contents/924_10259.html'],こ,こたつ布団,事前申込制,粗大ごみ
,こ,コップ型のびん（日本酒など）,,かん・びん
,こ,コップ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/924_10259.html'],こ,琴,事前申込制,粗大ごみ
